id,title,vote_average,vote_count,genre_ids,release_date,poster_path,original_title
346,Seven Samurai,8.456,3491,"[28, 18]",1954-04-26,/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg,七人の侍
1254011,Snow White and the Seven Samurai,0.0,0,[],,/ezmX7YyThlK6IEmtC5HBhQhlO2t.jpg,Snow White and the Seven Samurai
523634,Akira Kurosawa: It Is Wonderful to Create: 'Seven Samurai',10.0,1,[99],2002-10-25,/hLloiElMWdB6c7WxM4OZhDhs2d4.jpg,黒澤明～創ると云う事は素晴らしい～七人の侍
26480,The Legend of the 7 Golden Vampires,5.922,116,"[28, 27]",1974-07-11,/dLMHfMnaQZQQNj4ZlpaQGwM3zjF.jpg,The Legend of the 7 Golden Vampires
636390,The Fists of Vengeance,6.0,1,"[28, 12]",1974-01-01,/qW6MdR1AevelemsgltnO3hwwSUo.jpg,除暴
119147,The Naked Seven,6.8,6,"[12, 28]",1972-12-27,/aOT5fcdKbhRJZUVY2hKLpvT3qgk.jpg,戦国ロック　疾風の女たち
